yourlist:M202009175C475328CEF75220C360D524E9D456CE457C3CW	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q5TBB1	Q5TBB1	RNH2B_HUMAN	reviewed	Ribonuclease H2 subunit B (RNase H2 subunit B) (Aicardi-Goutieres syndrome 2 protein) (AGS2) (Deleted in lymphocytic leukemia 8) (Ribonuclease HI subunit B)	RNASEH2B DLEU8	Homo sapiens (Human)	312
P21291	P21291	CSRP1_HUMAN	reviewed	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141)	CSRP1 CSRP CYRP	Homo sapiens (Human)	193
Q9P0J0	Q9P0J0	NDUAD_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic and interferon-induced mortality 19 protein) (GRIM-19) (Gene associated with retinoic and IFN-induced mortality 19 protein) (NADH-ubiquinone oxidoreductase B16.6 subunit)	NDUFA13 GRIM19 CDA016 CGI-39	Homo sapiens (Human)	144
Q6DKI1	Q6DKI1	RL7L_HUMAN	reviewed	60S ribosomal protein L7-like 1 (Large ribosomal subunit protein uL30-like 1)	RPL7L1	Homo sapiens (Human)	255
P19367	P19367	HXK1_HUMAN	reviewed	Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A)	HK1	Homo sapiens (Human)	917
Q92878	Q92878	RAD50_HUMAN	reviewed	DNA repair protein RAD50 (hRAD50) (EC 3.6.-.-)	RAD50	Homo sapiens (Human)	1312
Q16890	Q16890	TPD53_HUMAN	reviewed	Tumor protein D53 (hD53) (Tumor protein D52-like 1)	TPD52L1	Homo sapiens (Human)	204
Q13907	Q13907	IDI1_HUMAN	reviewed	Isopentenyl-diphosphate Delta-isomerase 1 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 1) (IPP isomerase 1) (IPPI1)	IDI1	Homo sapiens (Human)	227
Q9UBS4	Q9UBS4	DJB11_HUMAN	reviewed	DnaJ homolog subfamily B member 11 (APOBEC1-binding protein 2) (ABBP-2) (DnaJ protein homolog 9) (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p) (HEDJ) (Human DnaJ protein 9) (hDj-9) (PWP1-interacting protein 4)	DNAJB11 EDJ ERJ3 HDJ9 PSEC0121 UNQ537/PRO1080	Homo sapiens (Human)	358
Q71DI3	Q71DI3	H32_HUMAN	reviewed	Histone H3.2 (H3-clustered histone 13) (H3-clustered histone 14) (H3-clustered histone 15) (Histone H3/m) (Histone H3/o)	H3C15 HIST2H3A; H3C14 H3F2 H3FM HIST2H3C; H3C13 HIST2H3D	Homo sapiens (Human)	136
P00480	P00480	OTC_HUMAN	reviewed	Ornithine carbamoyltransferase, mitochondrial (EC 2.1.3.3) (Ornithine transcarbamylase) (OTCase)	OTC	Homo sapiens (Human)	354
P32004	P32004	L1CAM_HUMAN	reviewed	Neural cell adhesion molecule L1 (N-CAM-L1) (NCAM-L1) (CD antigen CD171)	L1CAM CAML1 MIC5	Homo sapiens (Human)	1257
P12004	P12004	PCNA_HUMAN	reviewed	Proliferating cell nuclear antigen (PCNA) (Cyclin)	PCNA	Homo sapiens (Human)	261
Q8N6R0	Q8N6R0	EFNMT_HUMAN	reviewed	eEF1A lysine and N-terminal methyltransferase (eEF1A-KNMT) (Methyltransferase-like protein 13) [Includes: eEF1A lysine methyltransferase (EC 2.1.1.-); eEF1A N-terminal methyltransferase (EC 2.1.1.-)]	EEF1AKNMT KIAA0859 METTL13 CGI-01	Homo sapiens (Human)	699
Q14573	Q14573	ITPR3_HUMAN	reviewed	Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)	ITPR3	Homo sapiens (Human)	2671
P33316	P33316	DUT_HUMAN	reviewed	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	DUT	Homo sapiens (Human)	252
P31321	P31321	KAP1_HUMAN	reviewed	cAMP-dependent protein kinase type I-beta regulatory subunit	PRKAR1B	Homo sapiens (Human)	381
P49959	P49959	MRE11_HUMAN	reviewed	Double-strand break repair protein MRE11 (EC 3.1.-.-) (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)	MRE11 HNGS1 MRE11A	Homo sapiens (Human)	708
Q9H1I8	Q9H1I8	ASCC2_HUMAN	reviewed	Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100)	ASCC2 ASC1P100	Homo sapiens (Human)	757
P08779	P08779	K1C16_HUMAN	reviewed	Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)	KRT16 KRT16A	Homo sapiens (Human)	473
P18669	P18669	PGAM1_HUMAN	reviewed	Phosphoglycerate mutase 1 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B)	PGAM1 PGAMA CDABP0006	Homo sapiens (Human)	254
P04264	P04264	K2C1_HUMAN	reviewed	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)	KRT1 KRTA	Homo sapiens (Human)	644
P30405	P30405	PPIF_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F)	PPIF CYP3	Homo sapiens (Human)	207
Q7KZ85	Q7KZ85	SPT6H_HUMAN	reviewed	Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein)	SUPT6H KIAA0162 SPT6H	Homo sapiens (Human)	1726
P02753	P02753	RET4_HUMAN	reviewed	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP) [Cleaved into: Plasma retinol-binding protein(1-182); Plasma retinol-binding protein(1-181); Plasma retinol-binding protein(1-179); Plasma retinol-binding protein(1-176)]	RBP4 PRO2222	Homo sapiens (Human)	201
Q9NRZ9	Q9NRZ9	HELLS_HUMAN	reviewed	Lymphoid-specific helicase (EC 3.6.4.-) (Proliferation-associated SNF2-like protein) (SWI/SNF2-related matrix-associated actin-dependent regulator of chromatin subfamily A member 6)	HELLS PASG SMARCA6 Nbla10143	Homo sapiens (Human)	838
Q49A26	Q49A26	GLYR1_HUMAN	reviewed	Putative oxidoreductase GLYR1 (EC 1.-.-.-) (3-hydroxyisobutyrate dehydrogenase-like protein) (Cytokine-like nuclear factor N-PAC) (Glyoxylate reductase 1 homolog) (Nuclear protein NP60) (Nuclear protein of 60 kDa) (Nucleosome-destabilizing factor) (hNDF)	GLYR1 HIBDL NDF NP60	Homo sapiens (Human)	553
P49643	P49643	PRI2_HUMAN	reviewed	DNA primase large subunit (DNA primase 58 kDa subunit) (p58)	PRIM2 PRIM2A	Homo sapiens (Human)	509
P14866	P14866	HNRPL_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein L (hnRNP L)	HNRNPL HNRPL P/OKcl.14	Homo sapiens (Human)	589
P35754	P35754	GLRX1_HUMAN	reviewed	Glutaredoxin-1 (Thioltransferase-1) (TTase-1)	GLRX GRX	Homo sapiens (Human)	106
Q9Y2B0	Q9Y2B0	CNPY2_HUMAN	reviewed	Protein canopy homolog 2 (MIR-interacting saposin-like protein) (Putative secreted protein Zsig9) (Transmembrane protein 4)	CNPY2 MSAP TMEM4 ZSIG9 UNQ1943/PRO4426	Homo sapiens (Human)	182
P04259	P04259	K2C6B_HUMAN	reviewed	Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)	KRT6B K6B KRTL1	Homo sapiens (Human)	564
P30048	P30048	PRDX3_HUMAN	reviewed	Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.24) (Antioxidant protein 1) (AOP-1) (HBC189) (Peroxiredoxin III) (Prx-III) (Peroxiredoxin-3) (Protein MER5 homolog) (Thioredoxin-dependent peroxiredoxin 3)	PRDX3 AOP1	Homo sapiens (Human)	256
Q86SE5	Q86SE5	RALYL_HUMAN	reviewed	RNA-binding Raly-like protein (hRALYL) (Heterogeneous nuclear ribonucleoprotein C-like 3) (hnRNP core protein C-like 3)	RALYL HNRPCL3	Homo sapiens (Human)	291
P46926	P46926	GNPI1_HUMAN	reviewed	Glucosamine-6-phosphate isomerase 1 (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase 1) (GNPDA 1) (GlcN6P deaminase 1) (Oscillin)	GNPDA1 GNPI HLN KIAA0060	Homo sapiens (Human)	289
P11142	P11142	HSP7C_HUMAN	reviewed	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	HSPA8 HSC70 HSP73 HSPA10	Homo sapiens (Human)	646
P39023	P39023	RL3_HUMAN	reviewed	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)	RPL3 OK/SW-cl.32	Homo sapiens (Human)	403
P08133	P08133	ANXA6_HUMAN	reviewed	Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)	ANXA6 ANX6	Homo sapiens (Human)	673
Q02218	Q02218	ODO1_HUMAN	reviewed	2-oxoglutarate dehydrogenase, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1) (OGDC-E1) (Alpha-ketoglutarate dehydrogenase)	OGDH	Homo sapiens (Human)	1023
Q14517	Q14517	FAT1_HUMAN	reviewed	Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]	FAT1 CDHF7 FAT	Homo sapiens (Human)	4588
P42224	P42224	STAT1_HUMAN	reviewed	Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)	STAT1	Homo sapiens (Human)	750
Q13685	Q13685	AAMP_HUMAN	reviewed	Angio-associated migratory cell protein	AAMP	Homo sapiens (Human)	434
P49792	P49792	RBP2_HUMAN	reviewed	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270)	RANBP2 NUP358	Homo sapiens (Human)	3224
P09543	P09543	CN37_HUMAN	reviewed	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)	CNP	Homo sapiens (Human)	421
P82932	P82932	RT06_HUMAN	reviewed	28S ribosomal protein S6, mitochondrial (MRP-S6) (S6mt) (Mitochondrial small ribosomal subunit protein bS6m)	MRPS6 C21orf101 RPMS6	Homo sapiens (Human)	125
P08727	P08727	K1C19_HUMAN	reviewed	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	KRT19	Homo sapiens (Human)	400
P55039	P55039	DRG2_HUMAN	reviewed	Developmentally-regulated GTP-binding protein 2 (DRG-2) (Translation factor GTPase DRG2) (TRAFAC GTPase DRG2) (EC 3.6.5.-)	DRG2	Homo sapiens (Human)	364
Q6NXG1	Q6NXG1	ESRP1_HUMAN	reviewed	Epithelial splicing regulatory protein 1 (RNA-binding motif protein 35A) (RNA-binding protein 35A)	ESRP1 RBM35A	Homo sapiens (Human)	681
P07305	P07305	H10_HUMAN	reviewed	Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]	H1-0 H1F0 H1FV	Homo sapiens (Human)	194
Q9C0E2	Q9C0E2	XPO4_HUMAN	reviewed	Exportin-4 (Exp4)	XPO4 KIAA1721	Homo sapiens (Human)	1151
O75369	O75369	FLNB_HUMAN	reviewed	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	FLNB FLN1L FLN3 TABP TAP	Homo sapiens (Human)	2602
P56385	P56385	ATP5I_HUMAN	reviewed	ATP synthase subunit e, mitochondrial (ATPase subunit e) (ATP synthase membrane subunit e) [Cleaved into: ATP synthase subunit e, mitochondrial, N-terminally processed]	ATP5ME ATP5I ATP5K	Homo sapiens (Human)	69
Q01105	Q01105	SET_HUMAN	reviewed	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	SET	Homo sapiens (Human)	290
P62316	P62316	SMD2_HUMAN	reviewed	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	SNRPD2 SNRPD1	Homo sapiens (Human)	118
Q9NX63	Q9NX63	MIC19_HUMAN	reviewed	MICOS complex subunit MIC19 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 3)	CHCHD3 MIC19 MINOS3	Homo sapiens (Human)	227
P31350	P31350	RIR2_HUMAN	reviewed	Ribonucleoside-diphosphate reductase subunit M2 (EC 1.17.4.1) (Ribonucleotide reductase small chain) (Ribonucleotide reductase small subunit)	RRM2 RR2	Homo sapiens (Human)	389
Q9H0H5	Q9H0H5	RGAP1_HUMAN	reviewed	Rac GTPase-activating protein 1 (Male germ cell RacGap) (MgcRacGAP) (Protein CYK4 homolog) (CYK4) (HsCYK-4)	RACGAP1 KIAA1478 MGCRACGAP	Homo sapiens (Human)	632
Q00266	Q00266	METK1_HUMAN	reviewed	S-adenosylmethionine synthase isoform type-1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1) (Methionine adenosyltransferase I/III) (MAT-I/III)	MAT1A AMS1 MATA1	Homo sapiens (Human)	395
O14777	O14777	NDC80_HUMAN	reviewed	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)	NDC80 HEC HEC1 KNTC2	Homo sapiens (Human)	642
P21281	P21281	VATB2_HUMAN	reviewed	V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (HO57) (Vacuolar proton pump subunit B 2)	ATP6V1B2 ATP6B2 VPP3	Homo sapiens (Human)	511
P35658	P35658	NU214_HUMAN	reviewed	Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN)	NUP214 CAIN CAN KIAA0023	Homo sapiens (Human)	2090
O00767	O00767	ACOD_HUMAN	reviewed	Acyl-CoA desaturase (EC 1.14.19.1) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase) (Stearoyl-CoA desaturase) (hSCD1)	SCD	Homo sapiens (Human)	359
P12955	P12955	PEPD_HUMAN	reviewed	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase) (Prolidase)	PEPD PRD	Homo sapiens (Human)	493
P10619	P10619	PPGB_HUMAN	reviewed	Lysosomal protective protein (EC 3.4.16.5) (Carboxypeptidase C) (Carboxypeptidase L) (Cathepsin A) (Protective protein cathepsin A) (PPCA) (Protective protein for beta-galactosidase) [Cleaved into: Lysosomal protective protein 32 kDa chain; Lysosomal protective protein 20 kDa chain]	CTSA PPGB	Homo sapiens (Human)	480
Q12849	Q12849	GRSF1_HUMAN	reviewed	G-rich sequence factor 1 (GRSF-1)	GRSF1	Homo sapiens (Human)	480
O15397	O15397	IPO8_HUMAN	reviewed	Importin-8 (Imp8) (Ran-binding protein 8) (RanBP8)	IPO8 RANBP8	Homo sapiens (Human)	1037
P53602	P53602	MVD1_HUMAN	reviewed	Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate (diphospho)decarboxylase) (MDDase) (Mevalonate pyrophosphate decarboxylase)	MVD MPD	Homo sapiens (Human)	400
Q92626	Q92626	PXDN_HUMAN	reviewed	Peroxidasin homolog (EC 1.11.1.7) (Melanoma-associated antigen MG50) (Vascular peroxidase 1) (p53-responsive gene 2 protein)	PXDN KIAA0230 MG50 PRG2 VPO VPO1	Homo sapiens (Human)	1479
Q9UHR5	Q9UHR5	S30BP_HUMAN	reviewed	SAP30-binding protein (Transcriptional regulator protein HCNGP)	SAP30BP HCNGP HTRG HTRP	Homo sapiens (Human)	308
Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	reviewed	Mycophenolic acid acyl-glucuronide esterase, mitochondrial (EC 3.1.1.93) (Alpha/beta hydrolase domain-containing protein 10) (Abhydrolase domain-containing protein 10)	ABHD10	Homo sapiens (Human)	306
P38646	P38646	GRP75_HUMAN	reviewed	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)	HSPA9 GRP75 HSPA9B mt-HSP70	Homo sapiens (Human)	679
P26038	P26038	MOES_HUMAN	reviewed	Moesin (Membrane-organizing extension spike protein)	MSN	Homo sapiens (Human)	577
P0DTC9	P0DTC9	NCAP_SARS2	reviewed	Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	N	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	419
O15551	O15551	CLD3_HUMAN	reviewed	Claudin-3 (Clostridium perfringens enterotoxin receptor 2) (CPE-R 2) (CPE-receptor 2) (Rat ventral prostate.1 protein homolog) (hRVP1)	CLDN3 C7orf1 CPETR2	Homo sapiens (Human)	220
O43169	O43169	CYB5B_HUMAN	reviewed	Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform)	CYB5B CYB5M OMB5	Homo sapiens (Human)	150
P11717	P11717	MPRI_HUMAN	reviewed	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222)	IGF2R MPRI	Homo sapiens (Human)	2491
P07858	P07858	CATB_HUMAN	reviewed	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	CTSB CPSB	Homo sapiens (Human)	339
O43747	O43747	AP1G1_HUMAN	reviewed	AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1)	AP1G1 ADTG CLAPG1	Homo sapiens (Human)	822
Q96HC4	Q96HC4	PDLI5_HUMAN	reviewed	PDZ and LIM domain protein 5 (Enigma homolog) (Enigma-like PDZ and LIM domains protein)	PDLIM5 ENH L9	Homo sapiens (Human)	596
Q8TE73	Q8TE73	DYH5_HUMAN	reviewed	Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)	DNAH5 DNAHC5 HL1 KIAA1603	Homo sapiens (Human)	4624
P28062	P28062	PSB8_HUMAN	reviewed	Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i) (Really interesting new gene 10 protein)	PSMB8 LMP7 PSMB5i RING10 Y2	Homo sapiens (Human)	276
P46781	P46781	RS9_HUMAN	reviewed	40S ribosomal protein S9 (Small ribosomal subunit protein uS4)	RPS9	Homo sapiens (Human)	194
Q9BVK2	Q9BVK2	ALG8_HUMAN	reviewed	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8 homolog) (Dol-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase)	ALG8 HUSSY-02	Homo sapiens (Human)	526
P04818	P04818	TYSY_HUMAN	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	TYMS TS OK/SW-cl.29	Homo sapiens (Human)	313
Q86TG7	Q86TG7	PEG10_HUMAN	reviewed	Retrotransposon-derived protein PEG10 (Embryonal carcinoma differentiation-regulated protein) (Mammalian retrotransposon-derived protein 2) (Myelin expression factor 3-like protein 1) (MEF3-like protein 1) (Paternally expressed gene 10 protein) (Retrotransposon gag domain-containing protein 3) (Retrotransposon-derived gag-like polyprotein) (Ty3/Gypsy-like protein)	PEG10 EDR KIAA1051 MAR2 MART2 MEF3L1 RGAG3	Homo sapiens (Human)	708
Q16719	Q16719	KYNU_HUMAN	reviewed	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	KYNU	Homo sapiens (Human)	465
P0DTC3	P0DTC3	AP3A_SARS2	reviewed	ORF3a protein (Accessory protein 3a) (Protein 3a) (Protein U274) (Protein X1)	3a	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	275
Q7LG56	Q7LG56	RIR2B_HUMAN	reviewed	Ribonucleoside-diphosphate reductase subunit M2 B (EC 1.17.4.1) (TP53-inducible ribonucleotide reductase M2 B) (p53-inducible ribonucleotide reductase small subunit 2-like protein) (p53R2)	RRM2B P53R2	Homo sapiens (Human)	351
Q9UHL4	Q9UHL4	DPP2_HUMAN	reviewed	Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase)	DPP7 DPP2 QPP	Homo sapiens (Human)	492
P0DTC2	P0DTC2	SPIKE_SARS2	reviewed	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273
Q9Y224	Q9Y224	RTRAF_HUMAN	reviewed	RNA transcription, translation and transport factor protein (CLE7 homolog) (CLE) (hCLE)	RTRAF C14orf166 CGI-99	Homo sapiens (Human)	244
Q9BPW8	Q9BPW8	NIPS1_HUMAN	reviewed	Protein NipSnap homolog 1 (NipSnap1)	NIPSNAP1	Homo sapiens (Human)	284
P05787	P05787	K2C8_HUMAN	reviewed	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)	KRT8 CYK8	Homo sapiens (Human)	483
Q14980	Q14980	NUMA1_HUMAN	reviewed	Nuclear mitotic apparatus protein 1 (Nuclear matrix protein-22) (NMP-22) (Nuclear mitotic apparatus protein) (NuMA protein) (SP-H antigen)	NUMA1 NMP22 NUMA	Homo sapiens (Human)	2115
Q03135	Q03135	CAV1_HUMAN	reviewed	Caveolin-1	CAV1 CAV	Homo sapiens (Human)	178
O43291	O43291	SPIT2_HUMAN	reviewed	Kunitz-type protease inhibitor 2 (Hepatocyte growth factor activator inhibitor type 2) (HAI-2) (Placental bikunin)	SPINT2 HAI2 KOP	Homo sapiens (Human)	252
Q5T6V5	Q5T6V5	QSPP_HUMAN	reviewed	Queuosine salvage protein	C9orf64	Homo sapiens (Human)	341
Q13362	Q13362	2A5G_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (PP2A B subunit isoform B'-gamma) (PP2A B subunit isoform B56-gamma) (PP2A B subunit isoform PR61-gamma) (PP2A B subunit isoform R5-gamma) (Renal carcinoma antigen NY-REN-29)	PPP2R5C KIAA0044	Homo sapiens (Human)	524
Q9BUL9	Q9BUL9	RPP25_HUMAN	reviewed	Ribonuclease P protein subunit p25 (RNase P protein subunit p25) (EC 3.1.26.5)	RPP25	Homo sapiens (Human)	199
O75643	O75643	U520_HUMAN	reviewed	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)	SNRNP200 ASCC3L1 HELIC2 KIAA0788	Homo sapiens (Human)	2136
P49368	P49368	TCPG_HUMAN	reviewed	T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma) (hTRiC5)	CCT3 CCTG TRIC5	Homo sapiens (Human)	545
O00299	O00299	CLIC1_HUMAN	reviewed	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	CLIC1 G6 NCC27	Homo sapiens (Human)	241
Q06210	Q06210	GFPT1_HUMAN	reviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1)	GFPT1 GFAT GFPT	Homo sapiens (Human)	699
Q9H190	Q9H190	SDCB2_HUMAN	reviewed	Syntenin-2 (Similar to TACIP18) (SITAC) (Syndecan-binding protein 2)	SDCBP2 SITAC18	Homo sapiens (Human)	292
Q2M2H8	Q2M2H8	MGAL_HUMAN	reviewed	Probable maltase-glucoamylase 2 (Maltase-glucoamylase (alpha-glucosidase) pseudogene) [Includes: Glucoamylase (EC 3.2.1.3) (Glucan 1,4-alpha-glucosidase)]	MGAM2	Homo sapiens (Human)	2515
Q9H9B4	Q9H9B4	SFXN1_HUMAN	reviewed	Sideroflexin-1	SFXN1	Homo sapiens (Human)	322
P0DTC6	P0DTC6	NS6_SARS2	reviewed	ORF6 protein (Accessory protein 6) (Non-structural protein 6) (ns6) (Protein X3)	6	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	61
Q2UVX4	Q2UVX4	CO3_BOVIN	reviewed	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; C3-beta-c (C3bc); Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	C3	Bos taurus (Bovine)	1661
O60292	O60292	SI1L3_HUMAN	reviewed	Signal-induced proliferation-associated 1-like protein 3 (SIPA1-like protein 3) (SPA-1-like protein 3)	SIPA1L3 KIAA0545 SPAL3	Homo sapiens (Human)	1781
P48730	P48730	KC1D_HUMAN	reviewed	Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	CSNK1D HCKID	Homo sapiens (Human)	415
